2,,invalshoeken,niveau van ontsluiting,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,,foto-overleg,beelden klaar,staat te ontsluiten beeld op de R-schijf in groot formaat?,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_04-11,niet-publiek,ok,,,,ok,ok,2002-0115_04-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_05-11,niet-publiek,ok,,,,ok,ok,2002-0115_05-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_06-11,niet-publiek,ok,,,,ok,ok,2002-0115_06-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_07-11,niet-publiek,ok,,,,ok,ok,2002-0115_07-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_08-11,niet-publiek,ok,,,,ok,ok,2002-0115_08-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_09-11,niet-publiek,ok,,,,ok,ok,2002-0115_09-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_10-11,niet-publiek,ok,,,,ok,ok,2002-0115_10-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_11-11,niet-publiek,ok,,,,ok,ok,2002-0115_11-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,ensemble,2002-0116_00-11,publiek,ok,,,,ok,ok,2002-0116_00-11$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_01-11,niet-publiek,ok,,,,ok,ok,2002-0116_01-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_02-11,niet-publiek,ok,,,,ok,ok,2002-0116_02-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_03-11,niet-publiek,ok,,,,ok,ok,2002-0116_03-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_04-11,niet-publiek,ok,,,,ok,ok,2002-0116_04-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_05-11,niet-publiek,ok,,,,ok,ok,2002-0116_05-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_06-11,niet-publiek,ok,,,,ok,ok,2002-0116_06-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_07-11,niet-publiek,ok,,,,ok,ok,2002-0116_07-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_08-11,niet-publiek,ok,,,,ok,ok,2002-0116_08-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_09-11,niet-publiek,ok,,,,ok,ok,2002-0116_09-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_10-11,niet-publiek,ok,,,,ok,ok,2002-0116_10-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0116_11-11,niet-publiek,ok,,,,ok,ok,2002-0116_11-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,ensemble,2002-0124_00-10,publiek,ok,,,,ok,ok,2002-0124_00-10$1,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_01-10,niet-publiek,ok,,,,ok,ok,2002-0124_01-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_02-10,niet-publiek,ok,,,,ok,ok,2002-0124_02-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_03-10,niet-publiek,ok,,,,ok,ok,2002-0124_03-10,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0124_04-10,niet-publiek,ok,,,,ok,ok,2002-0124_04-10,,,,,,,
